candidate_id,file,function,error_line,candidate_type,severity,evidence_level,evidence_score,historical_fix_ids,fixed_versions,matched_protocol_ids,required_actions,has_exception_hints,exception_hints,released_by_wrapper_possible,ownership_transfer_possible,manual_verdict,manual_confidence,manual_review_source,manual_confirmed_exception,manual_exception_type,manual_score_adjustment,manual_reason,manual_next_action,manual_validation_hint,score_explanation,missing_evidence,final_return_expr
candidate_0abd87f9afc6,fs/btrfs/disk-io.c,btrfs_replay_log,2095,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EIO
candidate_b26040a0e7e7,fs/btrfs/disk-io.c,load_super_root,2664,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EIO
candidate_62f492617e63,fs/btrfs/disk-io.c,read_tree_root_path,1060,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(ret)
candidate_9a1abe22d2dc,fs/btrfs/extent-io-tree.c,__clear_extent_bit,684,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_d3dc698bc271,fs/btrfs/extent-io-tree.c,__clear_extent_bit,684,partial_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_1a7d26e6ec4a,fs/btrfs/extent-io-tree.c,__set_extent_bit,1091,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_ac244b570ded,fs/btrfs/extent-io-tree.c,__set_extent_bit,1091,partial_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_466b70ad0690,fs/btrfs/extent-io-tree.c,convert_extent_bit,1334,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_ae9544cbd765,fs/btrfs/extent-io-tree.c,convert_extent_bit,1341,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_3cba67237058,fs/btrfs/extent-io-tree.c,convert_extent_bit,1341,partial_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_e2eb52421677,fs/btrfs/extent-tree.c,btrfs_alloc_tree_block,5122,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_CAST(block_rsv)
candidate_f14e8431c020,fs/btrfs/extent-tree.c,btrfs_alloc_tree_block,5127,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(ret)
candidate_1485b015a4be,fs/btrfs/extent-tree.c,btrfs_init_new_buffer,5021,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(-EUCLEAN)
candidate_0b70816a62e6,fs/btrfs/extent_io.c,alloc_test_extent_buffer,2861,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",exists
candidate_2142576a246a,fs/btrfs/extent_io.c,alloc_test_extent_buffer,2872,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",exists
candidate_bd026d94cf87,fs/btrfs/extent_map.c,btrfs_drop_extent_map_range,880,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",unknown
candidate_d4c83603eb66,fs/btrfs/extent_map.c,btrfs_drop_extent_map_range,880,partial_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",unknown
